Id,LotArea,Street,Alley,Utilities,Neighborhood,BldgType,HouseStyle,YearBuilt,RoofStyle,Foundation,Electrical,GrLivArea,FullBath,BedroomAbvGr,KitchenAbvGr,Fireplaces,GarageCars,SaleCondition,SalePrice
1,8450,Pave,,AllPub,CollgCr,1Fam,2Story,2003,Gable,PConc,SBrkr,1710,2,3,1,0,2,Normal,208500
2,9600,Pave,,AllPub,Veenker,1Fam,1Story,1976,Gable,CBlock,SBrkr,1262,2,3,1,1,2,Normal,181500
3,11250,Pave,,AllPub,CollgCr,1Fam,2Story,2001,Gable,PConc,SBrkr,1786,2,3,1,1,2,Normal,223500
4,9550,Pave,,AllPub,Crawfor,1Fam,2Story,1915,Gable,BrkTil,SBrkr,1717,1,3,1,1,3,Abnorml,140000
5,14260,Pave,,AllPub,NoRidge,1Fam,2Story,2000,Gable,PConc,SBrkr,2198,2,4,1,1,3,Normal,250000
6,14115,Pave,,AllPub,Mitchel,1Fam,1.5Fin,1993,Gable,Wood,SBrkr,1362,1,1,1,0,2,Normal,143000
7,10084,Pave,,AllPub,Somerst,1Fam,1Story,2004,Gable,PConc,SBrkr,1694,2,3,1,1,2,Normal,307000
8,10382,Pave,,AllPub,NWAmes,1Fam,2Story,1973,Gable,CBlock,SBrkr,2090,2,3,1,2,2,Normal,200000
9,6120,Pave,,AllPub,OldTown,1Fam,1.5Fin,1931,Gable,BrkTil,FuseF,1774,2,2,2,2,2,Abnorml,129900
10,7420,Pave,,AllPub,BrkSide,2fmCon,1.5Unf,1939,Gable,BrkTil,SBrkr,1077,1,2,2,2,1,Normal,118000
11,11200,Pave,,AllPub,Sawyer,1Fam,1Story,1965,Hip,CBlock,SBrkr,1040,1,3,1,0,1,Normal,129500
12,11924,Pave,,AllPub,NridgHt,1Fam,2Story,2005,Hip,PConc,SBrkr,2324,3,4,1,2,3,Partial,345000
13,12968,Pave,,AllPub,Sawyer,1Fam,1Story,1962,Hip,CBlock,SBrkr,912,1,2,1,0,1,Normal,144000
14,10652,Pave,,AllPub,CollgCr,1Fam,1Story,2006,Gable,PConc,SBrkr,1494,2,3,1,1,3,Partial,279500
15,10920,Pave,,AllPub,NAmes,1Fam,1Story,1960,Hip,CBlock,SBrkr,1253,1,2,1,1,1,Normal,157000
16,6120,Pave,,AllPub,BrkSide,1Fam,1.5Unf,1929,Gable,BrkTil,FuseA,854,1,2,1,0,2,Normal,132000
17,11241,Pave,,AllPub,NAmes,1Fam,1Story,1970,Gable,CBlock,SBrkr,1004,1,2,1,1,2,Normal,149000
18,10791,Pave,,AllPub,Sawyer,Duplex,1Story,1967,Gable,Slab,SBrkr,1296,2,2,2,0,2,Normal,90000
19,13695,Pave,,AllPub,SawyerW,1Fam,1Story,2004,Gable,PConc,SBrkr,1114,1,3,1,0,2,Normal,159000
20,7560,Pave,,AllPub,NAmes,1Fam,1Story,1958,Hip,CBlock,SBrkr,1339,1,3,1,0,1,Abnorml,139000
21,14215,Pave,,AllPub,NridgHt,1Fam,2Story,2005,Gable,PConc,SBrkr,2376,3,4,1,1,3,Partial,325300
22,7449,Pave,Grvl,AllPub,IDOTRR,1Fam,1.5Unf,1930,Gable,PConc,FuseF,1108,1,3,1,1,1,Normal,139400
23,9742,Pave,,AllPub,CollgCr,1Fam,1Story,2002,Hip,PConc,SBrkr,1795,2,3,1,1,2,Normal,230000
24,4224,Pave,,AllPub,MeadowV,TwnhsE,1Story,1976,Gable,PConc,SBrkr,1060,1,3,1,1,2,Normal,129900
25,8246,Pave,,AllPub,Sawyer,1Fam,1Story,1968,Gable,CBlock,SBrkr,1060,1,3,1,1,1,Normal,154000
26,14230,Pave,,AllPub,NridgHt,1Fam,1Story,2007,Gable,PConc,SBrkr,1600,2,3,1,1,3,Normal,256300
27,7200,Pave,,AllPub,NAmes,1Fam,1Story,1951,Gable,CBlock,SBrkr,900,1,3,1,0,2,Normal,134800
28,11478,Pave,,AllPub,NridgHt,1Fam,1Story,2007,Gable,PConc,SBrkr,1704,2,3,1,1,3,Normal,306000
29,16321,Pave,,AllPub,NAmes,1Fam,1Story,1957,Gable,CBlock,SBrkr,1600,1,2,1,2,1,Normal,207500
30,6324,Pave,,AllPub,BrkSide,1Fam,1Story,1927,Gable,BrkTil,SBrkr,520,1,1,1,0,1,Normal,68500
31,8500,Pave,Pave,AllPub,IDOTRR,1Fam,2Story,1920,Gambrel,BrkTil,SBrkr,1317,1,3,1,0,1,Normal,40000
32,8544,Pave,,AllPub,Sawyer,1Fam,1Story,1966,Gable,CBlock,SBrkr,1228,1,3,1,0,1,Normal,149350
33,11049,Pave,,AllPub,CollgCr,1Fam,1Story,2007,Gable,PConc,SBrkr,1234,2,3,1,0,2,Normal,179900
34,10552,Pave,,AllPub,NAmes,1Fam,1Story,1959,Hip,CBlock,SBrkr,1700,1,4,1,1,2,Normal,165500
35,7313,Pave,,AllPub,NridgHt,TwnhsE,1Story,2005,Hip,PConc,SBrkr,1561,2,2,1,1,2,Normal,277500
36,13418,Pave,,AllPub,NridgHt,1Fam,2Story,2004,Gable,PConc,SBrkr,2452,3,4,1,1,3,Normal,309000
37,10859,Pave,,AllPub,CollgCr,1Fam,1Story,1994,Gable,PConc,SBrkr,1097,1,3,1,0,2,Normal,145000
38,8532,Pave,,AllPub,NAmes,1Fam,1Story,1954,Hip,CBlock,SBrkr,1297,1,3,1,1,2,Normal,153000
39,7922,Pave,,AllPub,NAmes,1Fam,1Story,1953,Gable,CBlock,SBrkr,1057,1,3,1,0,1,Abnorml,109000
40,6040,Pave,,AllPub,Edwards,Duplex,1Story,1955,Gable,PConc,FuseP,1152,2,2,2,0,0,AdjLand,82000
41,8658,Pave,,AllPub,NAmes,1Fam,1Story,1965,Gable,CBlock,SBrkr,1324,2,3,1,1,2,Abnorml,160000
42,16905,Pave,,AllPub,Timber,1Fam,1Story,1959,Gable,CBlock,SBrkr,1328,1,2,1,2,1,Normal,170000
43,9180,Pave,,AllPub,SawyerW,1Fam,SFoyer,1983,Gable,CBlock,SBrkr,884,1,2,1,0,2,Normal,144000
44,9200,Pave,,AllPub,CollgCr,1Fam,1Story,1975,Hip,CBlock,SBrkr,938,1,3,1,0,1,Normal,130250
45,7945,Pave,,AllPub,NAmes,1Fam,1Story,1959,Gable,CBlock,FuseA,1150,1,3,1,0,1,Normal,141000
46,7658,Pave,,AllPub,NridgHt,TwnhsE,1Story,2005,Hip,PConc,SBrkr,1752,2,2,1,1,2,Normal,319900
47,12822,Pave,,AllPub,Mitchel,1Fam,1.5Fin,2003,Gable,PConc,SBrkr,2149,1,1,1,1,2,Abnorml,239686
48,11096,Pave,,AllPub,Somerst,1Fam,1Story,2006,Gable,PConc,SBrkr,1656,2,3,1,0,3,Normal,249700
